"","Region","Dataset","TSid","Archive","Category","Proxy","Season","Interp","Direction","PublicationDOI","SourceURL","AgeRange","Resolution","AgeControlN","AgeControlMax","Lat","Lon"
"403","NEU","Saksunarvatn.Johansen.1982","lcREQ7puIGiJ4dGVajz","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Johansen, J., 1982. Vegetational development in the Faroes from 10 Kyr BP to the present. Danmarks Geologiske Undersogelser Arbog, pp.111-136.","https://doi.pangaea.de/10.1594/PANGAEA.930512","8.9 - 0",185,"16","1440",62.24,-7.16
"404","NEU","Sandvikvatn.Paus.1982","lcRUiZGHarjNxAiW1nX","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Paus, A., 1982. Vegetasjonshistoriske undersokelser i Sandvikvatn, Karsto, Tysvaer i Rogaland. Botanisk Institutt, Universitetet i Bergen, Rapport, 23 (in Norwegian).","https://doi.pangaea.de/10.1594/PANGAEA.930512","10.9 - 1.3",195,"10","2810",59.28,5.49
"405","NEU","Sellevollmyra.Vorren.2007","LPD4777044b","Peat","Other (not calibrated)","humification","Annual","P-E","negative","https://doi.org/10.1080/03009480601061152","https://www.ncei.noaa.gov/access/paleo-search/study/15444","6.9 - 0.5",36,"21","1250",69.11,15.94
"406","NEU","Stomyren..2008","GH5fffab58","Peat","Other (not calibrated)","humification","Annual","P-E","negative","https://doi.org/10.1080/11035890809453231","https://www.ncei.noaa.gov/access/paleo-search/study/15444","8 - 0",60,"Not Available","Not Available",60.21,13.47
"407","NEU","Storsandvatnet.Birks.2012","lcRsxQJCal75WkUpl5m","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Birks, H.H., H.J.B. Birks, A.E. Bjune, and V.A. Felde., 2012. XXXVI International Bog ('Moor') Excursion of the Institute of Plant Sciences, University of Bern, southern and south-eastern Norway, 8-13 September 2012, Excursion Guide. University of Bergen, Norway and Bjerknes Centre for Climate Research, Bergen, Norway.","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",155,"8","3500",63.46,8.45
"408","NEU","Styggtjarnen.Giesecke.2005","lcR4l0L8xuHdTs39hQR","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Giesecke, T., 2005. Holocene forest development in the central Scandes Mountains, Sweden. Vegetation History and Archaeobotany, 14(2), pp.133-147.","https://doi.pangaea.de/10.1594/PANGAEA.930512","9.2 - 0",110,"6","3380",62.32,13.56
"409","NEU","Svartvatnet.Birks.2012","lcRKJqcToTVwvmD59ym","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Birks, H.H., H.J.B. Birks, A.E. Bjune, and V.A. Felde., 2012. XXXVI International Bog ('Moor') Excursion of the Institute of Plant Sciences, University of Bern, southern and south-eastern Norway, 8-13 September 2012, Excursion Guide. University of Bergen, Norway and Bjerknes Centre for Climate Research, Bergen, Norway.","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",190,"10","1820",63.35,8.88
"410","NEU","Tiavatnet.Birks.2012","lcR5yi0K8vaJ1pDMGjM","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Birks, H.H., H.J.B. Birks, A.E. Bjune, and V.A. Felde., 2012. XXXVI International Bog ('Moor') Excursion of the Institute of Plant Sciences, University of Bern, southern and south-eastern Norway, 8-13 September 2012, Excursion Guide. University of Bergen, Norway and Bjerknes Centre for Climate Research, Bergen, Norway.","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",120,"8","2670",63.06,9.42
"411","NEU","Trettetjorn.Bjune.2005Legacy","lcR5MPWfK6sspyzNqi4","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Bjune, A.E., 2005. Holocene vegetation history and tree-line changes on a north-south transect crossing major climate gradients in southern Norway-evidence from pollen and plant macrofossils in lake sediments. Review of Palaeobotany and Palynology, 133(3-4), pp.249-275.","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.8 - 0",210,"8","3390",60.72,7
"412","NEU","Tsuolbmajavri.Korhola.2002","PYTJINRZ45D","LakeSediment","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/S0277-3791(02)00003-3","www.ncdc.noaa.gov/paleo/study/15444","9 - 0",67,"8","1700",68.41,22.05
"413","NEU","VestreOykjamyrtjorn.Bjune.2005","lcRr3eI7cqYBPpIQz54","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Bjune, A.E., 2005. Holocene vegetation history and tree-line changes on a north-south transect crossing major climate gradients in southern Norway-evidence from pollen and plant macrofossils in lake sediments. Review of Palaeobotany and Palynology, 133(3-4), pp.249-275.","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",130,"10","2760",59.82,6
"414","NEU","VishnevskoeLake.Arslanov.1999","lcR8NnFIKkEryjVtdoJ","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Arslanov, K.A., Saveljeva, L.A., Gey, N.A., Klimanov, V.A., Chernov, S.B., Chernova, G.M., Kuzmin, G.F., Tertychnaya, T.V., Subetto, D.A. and Denisenkov, V., 1999. Chronology of vegetation and paleoclimatic stages of northwestern Russia during the Late Glacial and Holocene. Radiocarbon, 41(1), pp.25-45.","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0.2",130,"26","1300",60.5,29.52
"415","NEU","Waschhorn.Kuhl.1998","lcRLZA5oyAihPeZFLb7","Bog","Pollen (calibrated)","pollen","Annual","P","positive","Kuhl, N., 1998. Pollenanalytische Untersuchungen zur Vegetations- und Siedlungsgeschichte in einem Kesselmoor bei Drangstedt, Ldkr. Cuxhaven. Probleme der Kustenforschung im sudlichen Nordseegebiet, 25, pp.303-324 (in German).","https://doi.pangaea.de/10.1594/PANGAEA.930512","7.8 - 0",140,"6","1860",53.62,8.74
"416","NEU","WiggenhallStGermans.Waller.1994","lcRbLUSpdmvr6eTifaD","Fen","Pollen (calibrated)","pollen","Annual","P","positive","Waller, M., 1994. The Fenland project, number 9: Flandrian environmental change in Fenland (No. 70). Cambridgeshire Archaeological Committee, Cambridge, United Kingdom.","https://doi.pangaea.de/10.1594/PANGAEA.930512","5.4 - 0.1",140,"3","1570",52.69,0.34
"417","NEU","Zaruckoe.Elina.1981","lcRWLf959HwYAt7u0lE","Peat","Pollen (calibrated)","pollen","Annual","P","positive","Elina, G.A., 1981. Printsipy i metody rekonstruktsii i kartirovaniya rastitelonosti golotsena [Principles and methods for reconstruction and mapping of Holocene vegetation]. Nauka, Leningrad, Russia (in Russian).","https://doi.pangaea.de/10.1594/PANGAEA.930512","9.7 - 0.4",280,"5","2600",63.9,36.25
"418","NSA","CariacoBasin.Haug.2001","LPDe51c2779xxxx","MarineSediment","Other (not calibrated)","mineralogy","Summer","P","positive","https://doi.org/10.1126/science.1059725","https://www.ncei.noaa.gov/access/paleo-search/study/2560","12 - 0.1",5,"Not Available","Not Available",10.7,-65.17
"419","NSA","LS99CUVA","LS99CUVAc","LakeSediment","Lake Sediment (δ18O)","d18O","Annual","P-E","negative","https://doi.org/10.1191/095968399669724431","https://www.ncei.noaa.gov/access/paleo-search/study/5489","9.7 - 0",41,"11","2840",10.17,-67.75
"420","NSA","Paraisocave.Wang.2017","S2LRKkd7T4UOdy","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1038/nature20787","http://dx.doi.org/10.17864/1947.256","10.9 - 0",8,"13","4508.9707288",-4.07,-55.45
"421","NSA","XinguRia.Bertassoli.2019","WEBbed2c631","FluvialSediment","Leaf Wax (δD)","dDwax","Annual","P","negative","https://doi.org/10..1029/2019GL082936","https://doi.pangaea.de/10.1594/PANGAEA.906264","4 - 0.3",122,"Not Available","Not Available",-1.71,-52.28
"422","NWN","Andy.Szeicz.1995","PYTCPIAO06Y","LakeSediment","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/0031-0182(95)00070-3","www.ncdc.noaa.gov/paleo/study/15444","12 - 0",189,"5","4170",64.65,-128.08
"423","NWN","BellsLake.Szeicz.1995Legacy","lcRCIhUix5QOaVYiSJ3","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/0031-0182(95)00070-3","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",210,"5","3380",65.02,-127.48
"424","NWN","Big.Cumming.2002","NAm2kHydro030","LakeSediment","Shoreline (Lake Level)","diatom","Annual","P-E","positive","https://doi.org/10.1073/pnas.252603099","https://www.ncei.noaa.gov/access/paleo-search/study/23089","5.5 - 0",13,"12","1310",51.67,-121.45
"425","NWN","ClelandLake.Steinman.2016","LPD7dc5b9ba","LakeSediment","Shoreline (Lake Level)","d18O","Winter","P-E","negative","https://doi.org/10.1016/j.quascirev.2016.04.012","https://www.ncei.noaa.gov/access/paleo-search/study/21250","7.6 - 0",3,"26","1140",50.83,-116.39
"426","NWN","ClelandLake.Steinman.2016","LPD87c74b66","LakeSediment","Shoreline (Lake Level)","d13C","Winter","P-E","negative","https://doi.org/10.1016/j.quascirev.2016.04.012","https://www.ncei.noaa.gov/access/paleo-search/study/21250","7.6 - 0",3,"26","1140",50.83,-116.39
"427","NWN","CoppermineSaddleback.Nichols.1975Legacy","lcRE5QbPJ0FLNw7ktuv","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Nichols, H., 1975. Palynological and paleoclimatic study of the late Quaternary displacements of the boreal forest-tundra ecotone in Keewatin and Mackenzie, N.W.T., Canada. Occasional Paper 15. Institute of Arctic and Alpine Research, University of Colorado, Boulder, Colorado, USA.","https://doi.pangaea.de/10.1594/PANGAEA.930512","4.2 - 0",60,"4","1950",67.83,-115.32
"428","NWN","Corser.Nichols.2014","PYTZYIC0QP8","Peat","Leaf Wax (δD)","dDwax","Annual","P-E","negative","https://doi.org/10.1177/0959683614540729","www.ncdc.noaa.gov/paleo/study/15444","11.1 - 0.1",213,"15","1760",60.53,-145.45
"429","NWN","CrowfootLake.Osborn.1995","lcRlsbmXFmyXRKKhM7a","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Reasoner, M.A., 1996. Late Quaternary alpine and sub-alpine lacustrine records: Canadian and Colorado Rocky Mountains. Doctoral dissertation. University of Alberta, Edmonton, Alberta, Canada.","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",290,"11","2630",51.65,-116.42
"430","NWN","DragonflyLake.Edwards.2015","lcRZoZg8mFwmuOuhnO7","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1177/0959683614556389","https://doi.pangaea.de/10.1594/PANGAEA.930512","10.9 - 0.1",230,"9","1940",60.81,-135.34
"431","NWN","Dune.Finney.2012","GHe9193cd5dp","LakeSediment","Other (not calibrated)","d13C","Annual","P-E","negative","https://doi.org/10.1007/s10933-012-9617-2","https://www.ncei.noaa.gov/access/paleo-search/study/13076","11.3 - 0",17,"13","1546.364",64.42,-149.9
"432","NWN","DuneLake.Bigelow.1997","lcRXeYKFhQZcl9FryEQ","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Bigelow, N.H., 1997. Late-Quaternary vegetation and climate in Central Alaska. Doctoral dissertation. University of Alaska, Fairbanks, Alaska, USA.","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",160,"15","1520",64.42,-149.9
"433","NWN","DuneLake.Bigelow.1997PaleoDIVER","pdRH7DEiyfovpTWk9ZN","LakeSediment","Shoreline (Lake Level)","lakeLevel","Annual","P-E","positive","Bigelow (1997)","https://www.ncdc.noaa.gov/paleo/study/28771","11.2 - 1.8",860,"Shoreline Dates","Not Available",64.42,-149.9
"434","NWN","FelkerLake.Galloway.2011","WEB30fe1262","LakeSediment","Shoreline (Lake Level)","diatom","Annual","P-E","positive","https://doi.org/10.1007/s10933-010-9490-9","wNAm","10.7 - 0",142,"9","2872.7",51.95,-122
"435","NWN","GerryLake.Gavin.2009","lcRg0FX7kDsVlxAdcdh","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.3955/046.083.0107","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.2 - 0",125,"10","1940",53.65,-121.51
"436","NWN","GoatLake.Anderson.2017","lcRQ9mDBHfr9XBLQbUd","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1177/0959683616670217","https://doi.pangaea.de/10.1594/PANGAEA.930512","9.1 - 0",140,"12","1330",60.26,-149.91
"437","NWN","HailLake.Cwynar.1995","lcRzxniarU5TTRDhKkh","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.7202/033027ar","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.8 - 0",120,"7","2990",60.03,-129.02
"438","NWN","HaircutLake.Edwards.2015","lcRjEweSTJryZAYGb1l","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1177/0959683614556389","https://doi.pangaea.de/10.1594/PANGAEA.930512","7.9 - 0.5",290,"6","2370",60.52,-133.21
"439","NWN","Harding.Finkenbinder.2014","WEB6b4c459e","LakeSediment","Shoreline (Lake Level)","TOC","Annual","P-E","positive","https://doi.org/10.1016/j.quascirev.2014.01.005","www.ncdc.noaa.gov/paleo/study/15655","12 - 0",48,"16","2800",64.42,-146.85
"440","NWN","Harding.Finkenbinder.2014","WEBccba2853","LakeSediment","Shoreline (Lake Level)","MS","Annual","P-E","negative","https://doi.org/10.1016/j.quascirev.2014.01.005","www.ncdc.noaa.gov/paleo/study/15655","12 - 0.1",10,"16","2800",64.42,-146.85
"441","NWN","Isle.Hickman.1981","OLS_RvAYM4Zh3Pk","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",52.62,-114.43
"442","NWN","KR02.Peros.2008","PYT4D9VTHOK","LakeSediment","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/j.quascirev.2007.09.002","www.ncdc.noaa.gov/paleo/study/15444","10.1 - 0",158,"Not Available","Not Available",71.34,-113.78
"443","NWN","LakeWA01.Ravindra.2009","lcRBEvaydIFwOnSZuma","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Ravindra, R., 2009. A high-resolution vegetation, fire, and climate history from the Aishihik Region, Yukon Territory, Canada. Master's thesis. University of Ottawa, Ottawa, Ontario, Canada.","https://doi.pangaea.de/10.1594/PANGAEA.930512","10.4 - 0",60,"14","2560",61.24,-136.93
"444","NWN","LilyLake.Cwynar.1990","lcRPCIzys1FJAv11nWi","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1139/b90-139","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",160,"13","1850",59.2,-135.4
"445","NWN","LittleSwiftLake.Axford.2004","lcRUFhLpJJEIgFJy1fm","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1657/1523-0430(2004)036%5B0139:LGAHGA%5D2.0.CO;2","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",350,"9","2870",60.22,-159.77
"446","NWN","LoneFoxLake.MacDonald.1984","lcRGoh2qGUcOrSspCnQ","Lake","Pollen (calibrated)","pollen","Annual","P","positive","MacDonald, G.M., 1984. Postglacial plant migration and vegetation development in the western Canadian boreal forest. Doctoral dissertation. University of Toronto, Toronto, Ontario, Canada.","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",345,"6","3320",56.72,-119.72
"447","NWN","Marcella.Anderson.2007","LPD43c710a2","LakeSediment","Lake Sediment (δ18O)","d18O","Summer","P-E","negative","https://doi.org/10.1016/j.quascirev.2006.04.011","https://www.ncei.noaa.gov/access/paleo-search/study/6066","4.7 - 0",29,"3","3100",60.07,-133.81
"448","NWN","MarcellaLake.Anderson.2005","pdRo4qVPibvVmQpFyRt","LakeSediment","Shoreline (Lake Level)","lakeLevel","Annual","P-E","positive","Anderson et al. (2005)","https://www.ncdc.noaa.gov/paleo/study/28771","10.2 - 0",815,"Shoreline Dates","Not Available",60.07,-133.81
"449","NWN","MarcellaLake.Edwards.2015","lcRTMSt7gELRNTyCnb3","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1177/0959683614556389","https://doi.pangaea.de/10.1594/PANGAEA.930512","9 - 0",275,"6","3690",60.07,-133.81
"450","NWN","MeliLake.Anderson.2001","WEBe0e75109","LakeSediment","Lake Sediment (δ18O)","d18O","Annual","P-E","negative","https://doi.org/10.1006/qres.2001.2219","https://www.ncei.noaa.gov/access/paleo-search/study/5469","8.7 - 0",367,"7","1972.4",68.68,-149.07
"451","NWN","MicaLake.Anderson.2017","lcR51PFKlQqno4VsZWI","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1177/0959683616670217","https://doi.pangaea.de/10.1594/PANGAEA.930512","10.2 - 0",150,"12","3610",60.69,-148.14
"452","NWN","Moore.Schweger.1983","OLS_RwLxfQP11eP","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",53,-110.5
"453","NWN","NatlaBog.MacDonald.1983","lcRQaFKDkPHIf6LdubV","Peat","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.2307/1550919","https://doi.pangaea.de/10.1594/PANGAEA.930512","10.1 - 0",390,"6","3080",63.02,-128.8
"454","NWN","ParadiseLake.Steinman.2016","LPD179d915e","LakeSediment","Lake Sediment (δ18O)","d18O","Winter","P-E","negative","https://doi.org/10.1016/j.quascirev.2016.04.012","https://www.ncei.noaa.gov/access/paleo-search/study/21250","9.1 - 0",17,"19","1480",54.69,-122.62
"455","NWN","ParadiseLake.Steinman.2016","LPDb99b434c","LakeSediment","Shoreline (Lake Level)","d13C","Winter","P-E","negative","https://doi.org/10.1016/j.quascirev.2016.04.012","https://www.ncei.noaa.gov/access/paleo-search/study/21250","9.1 - 0",17,"19","1480",54.69,-122.62
"456","NWN","Ranger.Brubaker.1983","PYTCYF0YQTU","LakeSediment","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/0033-5894(83)90077-7","www.ncdc.noaa.gov/paleo/study/15444","11.3 - 0",323,"5","3340",67.15,-153.65
"457","NWN","RantinLake.Pompeani.2012","WEBdb2377bc","LakeSediment","Shoreline (Lake Level)","CaCO3","Annual","P-E","negative","https://doi.org/10.1007/s10933-012-9602-9","www.ncdc.noaa.gov/paleo/study/13095","10.9 - 3.1",30,"9","1995",60.03,-129.03
"458","NWN","RuppertLake.Brubaker.1983","lcRLjFgm2COLZCD5g59","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/0033-5894(83)90077-7","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0.6",270,"6","3190",67.07,-154.23
"459","NWN","RuppertLake.Higuera.2006","lcRITy31dNFpYMrrFH7","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/0033-5894(83)90077-7","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0.2",70,"15","2290",67.07,-154.24
"460","NWN","SalmoLake.Edwards.2015","lcRti96IuQQTbmLrU3C","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1177/0959683614556389","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.4 - 0",270,"6","2840",60.45,-133.56
"461","NWN","SwampbuggyLake.Rohr.2001","lcRRMCoTqUxIBPKGqtp","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Rohr, M., 2001. Paleoenvironmental changes at treeline: A 6,500 year long pollen and stable isotope record. Master's thesis. University of Alaska, Fairbanks, Alaska, USA.","https://doi.pangaea.de/10.1594/PANGAEA.930512","8.1 - 0",220,"10","1300",63.05,-147.42
"462","NWN","Takahula.Clegg.2010","GH2f86466e","LakeSediment","Lake Sediment (δ18O)","d18O","Annual","P-E","negative","https://doi.org/10.1016/j.quascirev.2009.12.009","www.ncdc.noaa.gov/paleo/study/8663","8.1 - 0",59,"9","1335",67.35,-153.67
"463","NWN","TangleLakes.Ager.1981","lcR4bKnn7hrqLKgZGr3","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1080/01916122.1981.9989220","https://doi.pangaea.de/10.1594/PANGAEA.930512","5.5 - 0.1",170,"2","2890",63.03,-146.06
"464","NWN","TorontoLake.Wolfe.1996","LPDdf6e03fa","LakeSediment","Lake Sediment (δ18O)","d18O","Annual","P-E","negative","https://doi.org/10.1007/BF00196779","https://www.ncei.noaa.gov/access/paleo-search/study/15444","8.5 - 0.1",133,"Not Available","Not Available",63.72,-109.35
"465","NWN","UpperPintoFen.Yu.2003","LPDe806555f","Peat","Other (not calibrated)","DBD","Annual","P-E","negative","https://doi.org/10.1191/0959683603hl667ft","https://www.ncei.noaa.gov/access/paleo-search/study/13665","8 - 0",20,"19","1267",53.58,-118.02
"466","NWN","WA01.Rainville.2013","WEBc8473abd","LakeSediment","Other (not calibrated)","TOC","Annual","P-E","negative","https://doi.org/10.1139/cjes-2012-0103","www.ncdc.noaa.gov/paleo/study/18435","12 - 0",45,"37","2590",61.24,-136.93
"467","NWN","Wedge.Macdonald.1982","OLS_RtESqFQmPOU","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",50.87,-115.17
"468","NWN","WindmillLake.Bigelow.1997","lcRw0soaBrKg4z1ACYN","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Bigelow, N.H., 1997. Late-Quaternary vegetation and climate in Central Alaska. Doctoral dissertation. University of Alaska, Fairbanks, Alaska, USA.","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0.1",140,"7","2980",63.66,-148.81
"469","NWN","Wolverine.Mann.2002","GH66374774","LakeSediment","Other (not calibrated)","MAR","Annual","P-E","negative","https://doi.org/10.1016/S0277-3791(01)00120-2","https://www.ncei.noaa.gov/access/paleo-search/study/23070","7.4 - 0",27,"17","800",67.1,-158.91
"470","NWS","CuevadelDiamante.Cheng.2013","S2LRooDZAvI8UL","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1038/ncomms2415","http://dx.doi.org/10.17864/1947.256","12 - 2.4",61,"12","3460",-5.73,-77.5
"471","NWS","CuevadelTigrePerdido.vanBreukelen.2008","S2LRmBVO3ZS9RQ","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1016/j.epsl.2008.07.060","http://dx.doi.org/10.17864/1947.256","12 - 0",20,"17","1952",-5.94,-77.31
"472","NWS","ElCondorcave.Cheng.2013","S2LRLfv6iCnPNE","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1038/ncomms2415","http://dx.doi.org/10.17864/1947.256","6.3 - 0.3",50,"18","1770",-5.93,-77.3
"473","NWS","ElCondorcave.Cheng.2013","S2LRcMafCoSS3V","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1038/ncomms2415","http://dx.doi.org/10.17864/1947.256","12 - 4.3",130,"18","5680",-5.93,-77.3
"474","NWS","ElGobernador.Meleif.1985","OLS_R91mklW7AkS","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",3.85,-74.35
"475","NWS","Huagapocave.Kanner.2013","S2LRBXVhP2hFuP","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1016/j.quascirev.2013.05.008","http://dx.doi.org/10.17864/1947.256","7.2 - 0",5,"25","749",-11.27,-75.79
"476","NWS","LagunadeUbaque.Bird.2017","WEB5699be91","LakeSediment","Other (not calibrated)","particle size","Annual","P","positive","https://doi.org/10..1177/0959683617721324","https://www.ncei.noaa.gov/access/paleo-search/study/22275","4.7 - 0",9,"9","640",4.5,-73.94
"477","NWS","LagunadeUbaque.Bird.2017","WEBfdaf6c10","LakeSediment","Other (not calibrated)","C/N","Annual","P-E","negative","https://doi.org/10..1177/0959683617721324","https://www.ncei.noaa.gov/access/paleo-search/study/22275","4.7 - 0",9,"9","640",4.5,-73.94
"478","NWS","LagunaPumacocha.Bird.2011","WEB98bf1888","LakeSediment","Lake Sediment (δ18O)","d18O","Summer","P","negative","https://doi.org/10..1016/j.epsl.2011.08.040","https://www.ncei.noaa.gov/access/paleo-search/study/12199","11.1 - 0",2,"17","2940",-10.7,-76.06
"479","NWS","M77_2_059_1.N_rnberg.2015","WEB8c583cb8","MarineSediment","Other (not calibrated)","Ti/CA","Annual","P","positive","https://doi.org/10.1002/2014PA002706","http://dx.doi.org/10.1594/PANGAEA.848848","12 - 0.2",17,"8","2660",-3.95,-81.32
"480","NWS","Shatucacave.Bustamante.2016","S2LRFanjoqsyzm","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1016/j.quascirev.2016.05.023","http://dx.doi.org/10.17864/1947.256","10.6 - 0",4,"30","1416",-5.7,-77.9
"481","NZ","Auroracave.Lorrey.2008","S2LRKmG1npI12F","Speleothem","Speleothem (δ13C)","d13C","Annual","P-E","negative","https://doi.org/10.1016/j.quaint.2007.09.039","http://dx.doi.org/10.17864/1947.256","7.1 - 1.7",35,"4","1621",-45.3,167.7
"482","NZ","Babyloncave.Williams.2005","S2LRwdQvzjr8rq","Speleothem","Speleothem (δ13C)","d13C","Annual","P-E","negative","https://doi.org/10.1016/j.epsl.2004.10.024","http://dx.doi.org/10.17864/1947.256","10.3 - 1",224,"4","3565.7618",-41.95,171.47
"483","NZ","CalcitecaveMtLuxmoreFiordland.Lorrey.2008","S2LRGkmEev8vMC","Speleothem","Speleothem (δ13C)","d13C","Annual","P-E","negative","https://doi.org/10.1016/j.quaint.2007.09.039","http://dx.doi.org/10.17864/1947.256","9.3 - 1.7",137,"6","1853.1656",-46.02,167.74
"484","NZ","Creightonscave.Williams.2005","S2LR6TzTWmm4cO","Speleothem","Speleothem (δ13C)","d13C","Annual","P-E","negative","https://doi.org/10.1016/j.epsl.2004.10.024","http://dx.doi.org/10.17864/1947.256","12 - 7.2",159,"3","2834.8189",-40.63,172.47
"485","NZ","Disbeliefcave.Lorrey.2008","S2LRe4xCSSTpUK","Speleothem","Speleothem (δ13C)","d13C","Annual","P-E","negative","https://doi.org/10.1016/j.quaint.2007.09.039","http://dx.doi.org/10.17864/1947.256","7.7 - 0.6",155,"5","2246",-38.82,177.52
